Name,Link,Documents,Citations,H-index,Coauthor1,CoauthorNo1,Coauthor2,CoauthorNo2,Coauthor3,CoauthorNo3,Coauthor4,CoauthorNo4,Coauthor5,CoauthorNo5,Coauthor6,CoauthorNo6,Coauthor7,CoauthorNo7,Coauthor8,CoauthorNo8,Topic1,Topic2,Topic3,Topic4,Topic5,article,conference paper,book chapter,editorial,review,book,erratum,letter,Publications2021,Publications2020,Publications2019,Publications2018,Publications2017,Publications2016,Publications2015,Publications2014,Publications2013,Publications2012,Publications2011,Publications2010,Publications2009,Publications2008,Publications2007,Publications2006,Publications2005,Publications2004,Publications2003,Publications2002,Publications2001,Publications2000,Publications1999,Publications1998,Publications1997,Publications1996,Publications1995,Publications1994,Publications1993,Publications1992,Publications1991,Publications1990,Publications1989,Publications1988,Publications1987,Publications1986,Publications1985,Publications1984,Publications1983,Publications1982,Publications1981,Publications1980,Publications1979,Publications1978,Publications1977,Publications1976,Publications1975,Publications1974,Publications1973,Publications1972,Publications1971,Publications1970,Citations2021,Citations2020,Citations2019,Citations2018,Citations2017,Citations2016,Citations2015,Citations2014,Citations2013,Citations2012,Citations2011,Citations2010,Citations2009,Citations2008,Citations2007,Citations2006,Citations2005,Citations2004,Citations2003,Citations2002,Citations2001,Citations2000,Citations1999,Citations1998,Citations1997,Citations1996,Citations1995,Citations1994,Citations1993,Citations1992,Citations1991,Citations1990,Citations1989,Citations1988,Citations1987,Citations1986,Citations1985,Citations1984,Citations1983,Citations1982,Citations1981,Citations1980,Citations1979,Citations1978,Citations1977,Citations1976,Citations1975,Citations1974,Citations1973,Citations1972,Citations1971,Citations1970
"El-Kafrawy, Passent M.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=57219407679,26,132,5,"Fathi, Hanaa",3,"Manhrawy, Ibrahim I.M.",3,"Qaraad, Mohammed",3,"Abou-Nassar, Eman M.",2,"Elabd, Emad",2,"Elnemr, Rasha",2,"Jamal, Amani Tariq",2,"McCartney, Robert",2,Gene Selection; Cancer Classification; Microarray Data,Hadoop; Distributed File System; Mapreduce,Data Integrity; Auditing; Random Oracle Model,Neurogranin; Cerebrospinal Fluid; Alzheimer's Disease,SWATH (Ship); Liquid Chromatography-Mass Spectrometry; Dependent Data,10,15,0,1,0,0,0,0,1,4,3,7,1,0,3,0,0,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,45,19,19,5,3,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guaily, Amr G.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=35728774600,25,116,6,"Elhanafy, Ahmed",3,"Elsaid, Ahmed",3,"Ammar, Hossam Hassan",2,"El-Salamony, Mostafa E.",2,"ElShafei, Ahmed Ibrahim",2,"Moharam, Ahmed",2,"Sallam, Omar Khaled",2,"Abohadima, Samir A.",1,"Abdominal Aortic Aneurysm; N-Acetylval-Nle(7,8)-Allatotropin (5-13); Thrombosis",Articular Cartilage; Proteoglycans; Knees,Biofilms; Free Boundary Value Problems; Hyperbolic Partial Differential Equations,Fluid-Structure Interaction; Conjugate Heat Transfer; Added Mass,Trombe Walls; Solar Chimneys; Natural Ventilation,16,8,0,0,0,0,1,0,3,7,5,0,0,1,3,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,16,12,13,7,7,5,2,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AbdelSalam, Sherif S.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=34869048200,24,173,7,"Azzam, Salem A.",4,"El-Naggar, Hayel M.",4,"Anwar, Mona Badr El Din",2,"Baligh, Falma A.",2,"Roling, Matthew J.",2,"Abdelal, Mohamed A.",1,"Afifi, Mohamed S.",1,"Ahmed, Mostafa",1,Earth Pressure; Polystyrenes; Retaining Walls,Pile Driving; Load Tests; Bearing Capacity,Steel Fibers; Self Compacting Concrete; Concrete Slabs,No topic,No topic,12,12,0,0,0,0,0,0,0,3,3,2,1,3,1,3,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,26,22,21,13,12,17,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elattar, Mustafa A.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=55951661000,24,216,7,"Planken, Robrecht Nils",10,"VanBavel, Ed T.",7,"Wiegerinck, Esther M.A.",7,"Fahmy, Ahmed S.",5,"van Kesteren, Floortje",5,"Osman, Nael F.",4,"Abdelrauof, Dina",3,"Shahin, Ahmed H.",3,Transcatheter Aortic Valve Implantation; Bioprosthesis; Aortic Stenosis,Aortic Valve; Sternotomy; Bioprosthesis,Object Detection; CNN; IOU,Magnetic Resonance Angiography; Gadobutrol; Gadofosveset,Heart Left Ventricle; Cine Magnetic Resonance Imaging; Dice,8,16,0,0,0,0,0,0,1,5,3,1,3,1,2,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,57,38,28,32,17,14,6,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kassem, Sally S.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=56960108100,24,106,5,"Mohammed, Ayman R.",4,"Abou-El-Enien, Tarek H.M.",3,"Fahim, Irene Samy",3,"Korayem, Lamiaa",3,"Yasser, Shahd",3,"Abdelsalam, Hisham Mohamed E.",2,"Abdullatif, Nour",2,"Amr, Mohamed",2,Product Platform; Modularization; Design Structure Matrix,Cuculidae; Fireflies; Chiroptera,Vehicle Routing Problem; Pickup and Delivery; Dynamic Routing,Short-Term Load Forecasting; Electricity Price; Power Markets,Bullwhip Effect; Order-Up-To Policy; Supply Chain Performance,10,14,0,0,0,0,0,0,2,10,4,1,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,36,20,11,11,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boraey, Mohammed A.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=55084840300,23,372,7,"Hoe, Susan",3,"El-Salamony, Mostafa E.",2,"ElShafei, Ahmed Ibrahim",2,"Epstein, Marcelo",2,"Finlay, Warren H.",2,"Ivey, James W.",2,"Kostenko, Victoria",2,"Lechuga-Ballesteros, David",2,Lattice Boltzmann Method; Chapman-Enskog Expansion; Immersed Boundary,Thermoacoustics; Combustion Stability; Premixed Flames,Oil Pollution; Hydrophobicity; Aerogels,Biofilms; Free Boundary Value Problems; Hyperbolic Partial Differential Equations,Collision Avoidance; Waterways; Ships,13,7,0,0,1,0,1,0,2,3,6,1,0,0,2,4,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,58,83,36,35,46,28,23,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allam, Mahmoud",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=7004668825,21,120,6,"Azer, Marianne Amir",3,"Greenleaf, James F.",3,"Mansour, Hala A.K.",3,"Abo-Alsoud, M. A.",2,"Ibrahim, Karim M.",2,"NourElDeen, Pakinam",2,"Selim, Mazen Mohamed",2,"Abdelhalim, Mohamed Bakr",1,Microphone Array; Sound Engineer; Stereophonic Recordings,Connected Vehicles; CAN Bus; Electronic Control,Vehicular Ad Hoc Networks; Location Privacy; Revocation,Ontology Learning; Semantic Web; Natural Language Processing (NLP),No topic,5,15,1,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,1,1,1,2,0,1,1,1,0,0,0,0,0,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,10,4,4,5,4,5,4,8,5,15,3,3,8,0,1,0,0,4,2,4,0,4,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El-Hadidi, Mohamed",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=57062645000,18,838,7,"Kappler, Andreas Kappler",4,"Bakry, Usama",3,"Harter, Johannes",3,"Kishk, Ali",3,"Diab, Aya A.",2,"Elanany, Mervat Gaber",2,"Elzayat, Mariam G.",2,"Fares, Mohamed",2,Biochar; Soil Amendments; Black Carbon,Metagenome; Binning; Microbial Genome,Intestine Flora; Ruminococcaceae; Dysbiosis,Antibiotic Resistome; Tetracycline Resistance; Integrons,Pure Autonomic Failure; 3-Iodobenzylguanidine; Alpha Synuclein,11,6,0,0,0,0,1,0,0,5,6,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,226,215,184,74,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shosha, Ahmed F.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=54783521500,18,74,5,"Liu, Chenching",5,"Abdelbaki, Nashwa",2,"Tobin, Lee",2,"Wu, Shinnshyan",2,"Abdelazim, Mohamed T.",1,"Abdelkhalek, Moataz",1,"Elsayed, Yahia",1,"Gladyhsev, Pavel",1,Malware; Javascript; Blacklisting,Digital Forensics; Cybercrime; Court of Law,Malware; Permission; Drebrins,Malware; Obfuscation; Binary Codes,Direct Numerical Simulation; Resolvers; Names,1,13,4,0,0,0,0,0,0,0,0,2,4,0,0,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,9,14,5,6,7,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afify, Laila Hesham",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=56429489400,17,246,5,"ElSawy, Hesham",6,"El-Sherif, Amr A.",5,"Digham, Fadel F.A.",3,"ElBatt, Tamer A.",3,"Abdelradi, Yasmeen M.",2,"Hassan, Abdulmoneam A.",2,"Masood, Mudassir",2,"Nafie, Mohammed H.",2,Stochastic Geometry; Cellular Networks; Coverage Probability,Multiple-Input Multiple-Output (MIMO) System; Precoding; MIMO System,Caching; Radio Access Networks; Zipf Distribution,Cellular Networks; Power Allocation; Relay Selection,Machine-To-Machine Communication; Random Access; Local Thermodynamic Equilibrium,4,13,0,0,0,0,0,0,0,2,3,1,1,2,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,37,55,49,32,20,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shalaby, R.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=57189045808,16,86,5,"Ibrahim, Mohammed",3,"Abo-Zalam, Belal A.",2,"El-Hossainy, Mohammad",2,"Hamdy, Mohamed",2,"Khalifa, Tarek R.",2,"Mahmoud, Mohamed Ibrahim",2,"Raisch, Jörg",2,"Sallam, Mostafa",2,Maximum Power Point Trackers; Powerpoint; Photovoltaic System,Fractional-Order System; PID Controller; Robust Stabilization,Underactuated Mechanical Systems; Inverted Pendulum; Carts,Cranes; Overhead; Underactuated System,Fuzzy Controller; PID Control; DC Motor,7,9,0,0,0,0,0,0,1,7,4,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,12,6,5,3,2,6,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elmahdy, Hesham Nabih",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=6508156812,15,74,4,"Ghany, Kareem Kamal A.",2,"Khalifa, Nour Eldeen M.",2,"Mostafa, Fatma A.",2,"Refaey, Mohammed Ahmed A.",2,"Rjoob, Khaled Waleed Younis",2,"Taha, Sanaa",2,"AlMeghari, Mayada",1,"Aly, Imane",1,Ears; Biometry; Local Features,Pedestrian Detection; California Institute of Technology; Histograms,Heart Sounds; Phonocardiography; Stethoscopes,Evidence-Based Medicine; Clubs; Mccoll,Body Sensor Networks; Key Agreement; Authentication,5,9,0,0,0,0,1,0,0,3,2,0,0,1,4,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,22,7,5,3,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hussein, Bassam A.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=55939068000,15,292,8,"Nada, Ayman A.",3,"Sugiyama, Hiroyuki",2,"Weed, David A.",2,"Abouel Fotouh, Aziz M.",1,"Brown, Michael A.",1,"Dmitrochenko, Oleg N.",1,"El-Arabi, M. E.",1,"Eldeeb, Alaa Emad",1,Pressure Sensors; Shock Tubes; Calibration,No topic,No topic,No topic,No topic,10,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,38,31,19,33,25,24,34,16,17,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shokry, Abdallah",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=56801128200,15,52,5,"Ståhle, Per",4,"Mahdi, Elsadig",3,"Aly, Mohamed Fahmy",1,"Attia, M. S.",1,"Dixon, Roger",1,"Ghani, Saud Abdul A.",1,"Gopalan, Avinash",1,"Kharma, Mohamed Yaser",1,Hot Working; Dynamic Recrystallization; Hyperbolic Sine,Extracellular Space; Caudate Nucleus; Tortuosity,T-Stress; Crack Tips; Fracture Toughness,Mandible Fracture; Maxillofacial Injuries; Third Molar,Acoustic Emissions; Condition Monitoring; Spur Gears,14,0,0,0,0,0,0,1,1,4,3,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,11,7,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bakhoum, E. S.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=55845161500,14,133,7,"Ezz, Hesham",4,"Brown, David C.",2,"Karam, Ahmed",2,"Zaher, Khaled",2,"Brown, David C.",1,"Shouman, Enas R.",1,No Coauthor,No Coauthor,Quarries; Self Compacting Concrete; Silica Fume,Bales; Straw; Baling,Embodied Energy; Life Cycle Assessment; Green Building,Pumping; Water System; Irrigation (Agriculture),Palm Oils; Concrete Aggregates; Elaeis Guineensis,14,0,0,0,0,0,0,0,1,1,0,1,1,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,27,12,13,14,11,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hosny, Sameh",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=57041007400,13,55,4,"Alotaibi, Faisal",3,"El-Sherif, Amr A.",3,"Nafie, Mohammed H.",3,"AlNagar, Yousef",2,"Gabr, Badiaa",2,"Gad, Mohamed E.",2,"Mokhtar, Bassem Mahmoud",2,"Abdrabou, Mohammed Aly",1,Caching; Radio Access Networks; Zipf Distribution,Cellular Networks; Power Allocation; Relay Selection,Stream Ciphers; Cryptanalysis; Linear Feedback Shift Register,No topic,No topic,0,13,0,0,0,0,0,0,0,1,7,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,16,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ahmed, Ethar A.A.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=57007781800,12,59,5,"Ghaleb, Ahmed F.",4,"Elmaklizi, Yassmin D.",2,"El-Dhaba, A. R.",1,"Mahmoud, Wael",1,No Coauthor,No Coauthor,No Coauthor,No Coauthor,Generalized Thermoelasticity; Micropolar; Phase-Lag,Peristaltic Flow; Asymmetric Channel; Hartmann Number,No topic,No topic,No topic,11,0,0,0,1,0,0,0,2,3,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,13,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wahby Shalaby, Mohamed A.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=55322264400,12,80,3,"Ammar, Hossam Hassan",3,"Osman, Asmaa A.E.",2,"Salama, Elham S.",2,"Al Embaby, A.",1,"Beb, Mayra Yucely",1,"Boubakari, Abdoulaye",1,"Darwish, Ahmed M.",1,"Elmahdy, Hesham Nabih",1,Robot Learning; Imitation; Primitive,Emotion Recognition; Electroencephalography; Brain Computer Interface,No topic,No topic,No topic,5,7,0,0,0,0,0,0,0,7,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,40,10,0,2,2,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Awny, Mohamed Mamdouh",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=8503356600,11,28,2,"Alenezi, J. K.",1,"Diab, Ziad",1,"El-Katatny, Mai Gamal",1,"Elgezery, Hanan Wagih",1,"Fahmy, Maged M.M.",1,"Fayed, Ahmed Mohamed",1,"Hegazy, Mostafa",1,"Ibrahim, Asmaa Abdelrehim Selim",1,Entrepreneurial University; Academic Entrepreneurship; University Technology Transfer,Business Model Innovation; Sustainable Business; Digital Transformation,No topic,No topic,No topic,1,8,1,0,1,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,0,1,1,4,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaber, Ayman",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=56240981000,11,13,1,"Abdullah, Kareem",3,"Elezabi, Ayman Y.",3,"Gadallah, Yasser",3,"Seddik, Karim G.",3,"Roshdy, Ashraf",2,"Abdelbaki, Nashwa",1,"Aboelwafa, Mariam M.N.",1,"Attalla, Sara A.",1,Handover; Local Thermodynamic Equilibrium; Self-Optimization,HTTP; Video Streaming; Adaptive Dynamics,No topic,No topic,No topic,0,11,0,0,0,0,0,0,0,6,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamed, Esraa M.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=57195129089,10,97,6,"Said, Lobna A.",5,"Madian, Ahmed H.",4,"AbdelAty, Amr M.",2,"Rashad, Somia H.",2,"Alharbi, Abdullah G.",1,"Badr, Eman",1,"Elsafty, Abdulaziz H.",1,"Elsharqawy, Omar",1,Memristors; RRAM; Chaotic Circuit,Fractional Order; Differentiators; Low Pass Filters,Charge Pump Circuits; Energy Harvesting; DC-DC Converter,Hardware Description Languages; RTL; Time to Market,No topic,4,6,0,0,0,0,0,0,0,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,31,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rezk, Ahmed A.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=56673970800,10,143,5,"Soliman, Ahmed M.",5,"Abu-ElYazeed, Mohamed Fathy",3,"Helmy, Amr",3,"Ismail, Samar Moustafa",3,"Ismail, Yehea I.",3,"Said, Lobna A.",3,"Fahmy, Hossam A. H.",2,"Sayed, Wafaa S.",2,Chaotic Attractor; Chua's Circuit; Scroll,Image Encryption; Chaotic Map; Hyperchaotic System,Inductors; DC-DC Converter; Bucks,Fractional Order; Differentiators; Low Pass Filters,No topic,5,5,0,0,0,0,0,0,0,1,1,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49,46,29,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soliman, Nancy S.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=57194544067,10,193,5,"Said, Lobna A.",8,"Fouda, Mohammed E.",5,"Tolba, Mohamed F.",3,"Azar, Ahmad Taher",2,"AbdelAty, Amr M.",1,"Alharbi, Abdullah G.",1,"Alhurbi, Abdullah G.",1,"Ounnas, Adel",1,Memristors; RRAM; Chaotic Circuit,Chaotic Attractor; Chua's Circuit; Scroll,Asynchronous Circuits; Synchronizers; Network on Chip,Carbon Nanotube Field Effect Transistors; Multiple-Valued Logic; Combinatorial Circuits,Fractional Order; Differentiators; Low Pass Filters,4,6,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,58,45,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elsafty, Abdulaziz H.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=57202986074,9,37,5,"Said, Lobna A.",9,"Tolba, Mohamed F.",6,"Hassanein, Ahmed M.",2,"Armanyos, Mina",1,"Fouda, Mohammed E.",1,"Hamed, Esraa M.",1,No Coauthor,No Coauthor,Memristors; RRAM; Chaotic Circuit,Fractional Order; Differentiators; Low Pass Filters,No topic,No topic,No topic,4,4,0,0,1,0,0,0,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Omran, Mohammed Fawzy",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=55412327600,9,25,3,No Coauthor,No Coauthor,No Coauthor,No Coauthor,No Coauthor,No Coauthor,No Coauthor,No Coauthor,Women Entrepreneurs; Self-Employment; Ethnic Business,No topic,No topic,No topic,No topic,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,0,1,4,2,2,2,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
